departamento_residencia,provincia_residencia,anio_min,evento,grupo_etario,sepi_min,cantidad
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,7,8
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,14,91
COMUNA 1,CABA,2024,Dengue,De 10 a 14 años,19,11
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,13,113
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,7,31
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,10,94
COMUNA 2,CABA,2024,Dengue,De 35 a 44 años,13,4
COMUNA 2,CABA,2024,Dengue,De 45 a 65 años,4,1
COMUNA 1,CABA,2024,Dengue,De 35 a 44 años,10,114
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,18,101
COMUNA 1,CABA,2024,Dengue,De 45 a 65 años,9,273
COMUNA 1,CABA,2024,Dengue,Mayores de 65 años,12,148
COMUNA 1,CABA,2024,Dengue,Posneonato (29 hasta 365 días),9,1
COMUNA 1,CABA,2024,Dengue,De 13 a 24 meses,14,1
COMUNA 1,CABA,2024,Dengue,De 2 a 4 años,5,1
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,10,55
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,12,65
COMUNA 1,CABA,2024,Dengue,De 5 a 9 años,8,21
COMUNA 1,CABA,2024,Dengue,De 15 a 19 años,18,29
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,15,75
COMUNA 1,CABA,2024,Dengue,De 20 a 24 años,21,3
COMUNA 1,CABA,2024,Dengue,De 25 a 34 años,18,59
COMUNA 2,CABA,2024,Dengue,Mayores de 65 años,11,4
COMUNA 2,CABA,2024,Dengue,De 5 a 9 años,10,1
COMUNA 2,CABA,2024,Dengue,De 5 a 9 años,8,1
COMUNA 2,CABA,2024,Dengue,De 10 a 14 años,20,2
COMUNA 2,CABA,2024,Dengue,De 20 a 24 años,7,2
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,14,12
COMUNA 2,CABA,2024,Dengue,De 25 a 34 años,18,1
COMUNA 3,CABA,2024,Dengue,De 35 a 44 años,15,15
COMUNA 3,CABA,2024,Dengue,De 35 a 44 años,6,3
COMUNA 3,CABA,2024,Dengue,De 35 a 44 años,7,7
COMUNA 3,CABA,2024,Dengue,De 45 a 65 años,8,13
COMUNA 3,CABA,2024,Dengue,De 2 a 4 años,12,1
COMUNA 3,CABA,2024,Dengue,De 10 a 14 años,7,4
COMUNA 3,CABA,2024,Dengue,De 15 a 19 años,10,6
COMUNA 3,CABA,2024,Dengue,De 15 a 19 años,11,6
COMUNA 3,CABA,2024,Dengue,De 15 a 19 años,8,2
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,15,8
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,18,2
COMUNA 3,CABA,2024,Dengue,De 20 a 24 años,7,1
COMUNA 3,CABA,2024,Dengue,De 25 a 34 años,1,2
COMUNA 3,CABA,2024,Dengue,De 25 a 34 años,14,27
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,18,12
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,19,4
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,3,3
COMUNA 4,CABA,2024,Dengue,De 35 a 44 años,5,3
COMUNA 4,CABA,2024,Dengue,De 45 a 65 años,10,28
COMUNA 4,CABA,2024,Dengue,De 45 a 65 años,11,37
COMUNA 4,CABA,2024,Dengue,De 45 a 65 años,8,23
COMUNA 4,CABA,2024,Dengue,De 10 a 14 años,21,1
COMUNA 4,CABA,2024,Dengue,De 20 a 24 años,12,24
COMUNA 4,CABA,2024,Dengue,De 20 a 24 años,2,1
COMUNA 5,CABA,2024,Dengue,De 45 a 65 años,13,32
COMUNA 5,CABA,2024,Dengue,Mayores de 65 años,13,10
COMUNA 5,CABA,2024,Dengue,De 10 a 14 años,19,1
COMUNA 5,CABA,2024,Dengue,De 20 a 24 años,10,5
COMUNA 5,CABA,2024,Dengue,De 20 a 24 años,12,9
COMUNA 5,CABA,2024,Dengue,De 20 a 24 años,9,11
COMUNA 5,CABA,2024,Dengue,De 25 a 34 años,8,7
COMUNA 6,CABA,2024,Dengue,De 35 a 44 años,13,19
COMUNA 6,CABA,2024,Dengue,De 35 a 44 años,8,6
COMUNA 6,CABA,2024,Dengue,De 45 a 65 años,19,1
COMUNA 6,CABA,2024,Dengue,De 45 a 65 años,2,1
COMUNA 6,CABA,2024,Dengue,Mayores de 65 años,15,2
COMUNA 6,CABA,2024,Dengue,Mayores de 65 años,9,9
COMUNA 6,CABA,2024,Dengue,De 5 a 9 años,9,2
COMUNA 6,CABA,2024,Dengue,De 10 a 14 años,11,9
COMUNA 6,CABA,2024,Dengue,De 15 a 19 años,17,4
COMUNA 6,CABA,2024,Dengue,De 20 a 24 años,8,1
COMUNA 6,CABA,2024,Dengue,De 25 a 34 años,16,6
COMUNA 6,CABA,2024,Dengue,De 25 a 34 años,20,1
COMUNA 6,CABA,2024,Dengue,De 25 a 34 años,5,2
COMUNA 6,CABA,2024,Dengue,De 25 a 34 años,6,3
COMUNA 7,CABA,2024,Dengue,De 45 a 65 años,8,19
